Customer ID,Recency,Frequency,Monetary,AvgOrderValue,Trend,Churn
CUST100000,1,255,2305513.03,9041.22756862745,0.5627915608481495,0
CUST100001,17,248,1883550.65,7594.962298387097,0.4783485098815828,0
CUST100002,2,233,1927702.99,8273.40339055794,0.32607019518891295,0
CUST100003,4,239,1772877.43,7417.89719665272,0.3677648252057146,0
CUST100004,4,265,2156196.72,8136.591396226416,0.20924992320730001,0
CUST100005,1,261,1666421.11,6384.75521072797,0.1772430168080834,0
CUST100006,11,245,2109401.56,8609.802285714286,0.3465687150317768,0
CUST100007,9,253,1729527.57,6836.0773517786565,0.4058568399198418,0
CUST100008,1,225,1564832.25,6954.81,0.21091282460014552,0
CUST100009,2,237,1412287.78,5959.020168776371,0.2956567148674792,0
CUST100010,6,262,1665635.91,6357.388969465648,0.1059288356147362,0
CUST100011,1,275,1830188.84,6655.232145454545,0.08110655316784093,0
CUST100012,2,242,1665169.41,6880.865330578512,0.43845454433969877,0
CUST100013,6,235,1763609.94,7504.72314893617,0.36611934515544126,0
CUST100014,8,236,1630357.64,6908.295084745762,0.10980500730086871,0
CUST100015,2,258,2292860.55,8887.056395348836,0.5805404067433532,0
CUST100016,3,235,1863571.1,7930.089787234043,0.2175624628437691,0
CUST100017,1,243,1993535.48,8203.849711934155,0.33663738031938745,0
CUST100018,1,259,2108090.22,8139.344478764479,0.5722859359272887,0
CUST100019,1,270,1692239.87,6267.555074074075,0.21208854045074862,0
CUST100020,3,250,2313594.36,9254.37744,0.7594513690673529,0
CUST100021,1,222,1515728.42,6827.605495495495,0.2314496434394065,0
CUST100022,2,221,1536472.26,6952.3631674208145,0.38257938512866063,0
CUST100023,2,240,1680936.36,7003.901500000001,0.37675684199522097,0
CUST100024,3,230,2121518.67,9223.994217391304,0.411799835648907,0
CUST100025,1,242,1492762.84,6168.441487603306,0.8046734466596782,0
CUST100026,2,259,1930660.39,7454.28722007722,0.24276886765941671,0
CUST100027,1,264,1906871.66,7222.998712121212,0.10494200224350837,0
CUST100028,3,241,1651441.34,6852.453692946058,0.14814437758143448,0
CUST100029,6,229,2038650.0,8902.40174672489,0.2978071019607181,0
CUST100030,3,283,1897358.69,6704.447667844523,0.30926865972411083,0
CUST100031,2,279,2159587.07,7740.455448028673,0.3541849111852205,0
CUST100032,5,243,1956074.29,8049.688436213992,0.4281501380272452,0
CUST100033,1,247,1648912.01,6675.757125506073,0.22287888042090842,0
CUST100034,1,271,2003996.82,7394.8222140221405,0.22024425591043398,0
CUST100035,6,251,1532231.38,6104.50749003984,0.08436788315337614,0
CUST100036,1,254,2152616.86,8474.869527559054,0.3285575588208439,0
CUST100037,4,236,1830463.26,7756.200254237288,0.5248232944094845,0
CUST100038,6,257,2246743.45,8742.192412451363,0.1424579488234466,0
CUST100039,1,256,1815236.75,7090.7685546875,0.2200484885036423,0
CUST100040,1,262,2043902.73,7801.155458015267,0.8467591372730093,0
CUST100041,4,269,2121521.17,7886.695799256505,0.38973887416864256,0
CUST100042,4,235,2075843.7,8833.37744680851,0.555230426931925,0
CUST100043,3,248,2097001.08,8455.649516129033,0.7028091513704197,0
CUST100044,2,243,1735488.27,7141.927037037037,0.16814752070804842,0
CUST100045,17,235,1800493.8,7661.6757446808515,0.30712257737260734,0
CUST100046,5,255,1854844.93,7273.901686274509,0.40760994570358905,0
CUST100047,1,251,1825844.91,7274.282509960159,0.17932630116050688,0
CUST100048,4,271,1972885.02,7280.01852398524,0.31148613546340626,0
CUST100049,13,242,1999663.03,8263.070371900827,0.18232760945527532,0
CUST100050,1,263,2387184.1,9076.745627376426,0.37911120144488963,0
CUST100051,3,255,1895528.75,7433.446078431372,0.5005153668746629,0
CUST100052,2,235,1814545.08,7721.468425531915,0.25941888535769303,0
CUST100053,1,244,1579121.19,6471.8081557377045,0.4472492767577058,0
CUST100054,1,239,1679971.68,7029.170209205021,0.5906235878202053,0
CUST100055,1,233,1821549.4,7817.808583690987,0.25604206116570305,0
CUST100056,4,251,1944255.44,7746.037609561753,0.30647234583233035,0
CUST100057,2,234,1664475.07,7113.141324786325,0.30951606417073185,0
CUST100058,4,252,1831831.84,7269.173968253968,0.2923199927498693,0
CUST100059,1,287,2364710.4899999998,8239.4093728223,0.30904648076746905,0
CUST100060,11,249,1897235.11,7619.4181124498,1.4930875020570793,0
CUST100061,5,230,1723885.28,7495.153391304348,0.39958722965576593,0
CUST100062,11,245,2177404.58,8887.365632653062,0.46382361211771117,0
CUST100063,1,222,2021566.32,9106.154594594595,0.5324223679692373,0
CUST100064,1,264,1747332.8,6618.684848484849,0.21325929117368136,0
CUST100065,3,253,1749043.62,6913.215889328064,0.24584019841192709,0
CUST100066,4,238,1652108.5,6941.632352941177,0.24079487588865195,0
CUST100067,1,263,1974792.24,7508.715741444867,0.6281211150156101,0
CUST100068,1,219,1463753.76,6683.807123287671,0.14267266235273185,0
CUST100069,1,258,1608529.48,6234.610387596899,0.9319627654396759,0
CUST100070,3,281,2041753.73,7266.027508896797,0.299172756692272,0
CUST100071,1,252,1936031.57,7682.664960317461,0.6687473086695175,0
CUST100072,1,239,1561769.56,6534.600669456067,0.8157605206230086,0
CUST100073,3,260,1834320.25,7055.077884615384,0.077132076324117,0
CUST100074,3,253,1902242.08,7518.743399209487,0.29040565625781484,0
CUST100075,16,259,2136279.65,8248.183976833976,0.26073134064753867,0
CUST100076,1,242,1741471.58,7196.163553719009,0.478092806921972,0
CUST100077,1,238,1738871.8,7306.1840336134455,1.0414416880174437,0
CUST100078,3,245,2317031.08,9457.269714285714,0.7662946036208688,0
CUST100079,5,220,1612825.43,7331.024681818181,0.3084664233446986,0
CUST100080,2,273,2346595.03,8595.58619047619,0.5071572391371191,0
CUST100081,12,240,1605294.37,6688.726541666667,0.23531869582137105,0
CUST100082,6,240,1588920.71,6620.5029583333335,0.16518578239241474,0
CUST100083,2,273,1882006.93,6893.798278388278,0.26260315092059966,0
CUST100084,5,264,1878741.63,7116.445568181818,0.293804490361509,0
CUST100085,3,254,1774824.38,6987.497559055118,0.19659800140597186,0
CUST100086,3,256,1797197.22,7020.301640625,0.2093115264170925,0
CUST100087,4,268,2309036.85,8615.809141791045,0.2310202449385964,0
CUST100088,5,244,1568448.87,6428.069139344263,0.3239914455943043,0
CUST100089,8,256,1841516.7,7193.424609375,0.3873919977025334,0
CUST100090,3,219,1795709.95,8199.588812785389,0.5512673427430006,0
CUST100091,2,252,1842340.36,7310.874444444445,0.15241458315411177,0
CUST100092,2,255,1576482.08,6182.282666666667,0.23205308512893708,0
CUST100093,1,242,2063773.23,8527.988553719008,0.5216225926391843,0
CUST100094,3,244,1980234.16,8115.713770491803,0.8499593522493626,0
CUST100095,14,270,2180564.0300000003,8076.163074074075,0.3096887125824722,0
CUST100096,1,258,2207814.22,8557.419457364342,0.34445417297338493,0
CUST100097,3,250,2144502.71,8578.010839999999,1.183915191287713,0
CUST100098,3,252,2052133.58,8143.387222222223,0.35620620469649683,0
CUST100099,4,276,1878084.84,6804.655217391305,0.29290115624308366,0
CUST100100,3,223,1549894.77,6950.200762331839,0.45010987994434987,0
CUST100101,6,220,1444096.03,6564.072863636364,0.2642145723730004,0
CUST100102,2,259,2483447.69,9588.601119691119,0.6528515488414228,0
CUST100103,3,228,1516543.17,6651.505131578947,0.5354994775727822,0
CUST100104,1,259,1863847.77,7196.323436293436,0.4838584887807961,0
CUST100105,4,264,2183151.55,8269.513446969697,0.5206700185921856,0
CUST100106,8,242,1773016.33,7326.513760330578,0.16769340123483342,0
CUST100107,9,262,2203364.17,8409.786908396947,0.1676334642845221,0
CUST100108,7,251,1858118.91,7402.864183266932,0.4464039803416586,0
CUST100109,2,243,1661501.33,6837.454032921811,0.6857087383855636,0
CUST100110,4,233,1636081.15,7021.807510729614,0.19519980736911197,0
CUST100111,10,250,1704567.01,6818.26804,0.5204262872204591,0
CUST100112,3,250,1691344.37,6765.37748,0.26334567049032315,0
CUST100113,2,254,1778164.91,7000.649251968503,0.2785324386332578,0
CUST100114,3,230,2163237.04,9405.37843478261,0.5193695915200967,0
CUST100115,3,260,1956268.72,7524.110461538461,0.3738387874810054,0
CUST100116,3,246,1904739.5,7742.84349593496,0.6306294518299407,0
CUST100117,1,265,1987237.23,7499.008415094339,0.301030820608814,0
CUST100118,10,262,1996813.32,7621.424885496183,0.4161111177965958,0
CUST100119,10,235,1963702.14,8356.179319148936,0.5120476860252086,0
CUST100120,1,254,2147527.12,8454.831181102363,0.29264302844604495,0
CUST100121,2,251,1818453.8699999999,7244.836135458167,0.3060698984161741,0
CUST100122,1,273,2002896.0,7336.615384615385,0.3259733912873723,0
CUST100123,3,257,2120350.36,8250.390505836576,0.24112352669466575,0
CUST100124,4,250,1600417.09,6401.668360000001,0.18945438726709388,0
CUST100125,2,246,1864591.1099999999,7579.638658536584,0.42982553636517135,0
CUST100126,1,226,1433206.75,6341.6227876106195,0.31171542907543826,0
CUST100127,1,254,1949959.95,7677.007677165354,0.3327213581555798,0
CUST100128,1,250,1716641.13,6866.56452,0.33091102529361177,0
CUST100129,1,285,1956995.68,6866.65150877193,0.42577417257792904,0
CUST100130,1,252,1788662.29,7097.86623015873,0.2162969658322372,0
CUST100131,1,260,1856564.0,7140.630769230769,0.4672498122417138,0
CUST100132,1,238,1647371.78,6921.730168067227,0.1819136996186359,0
CUST100133,1,251,1700529.7,6775.018725099601,0.4586910105637462,0
CUST100134,1,286,1798302.91,6287.772412587412,0.25983748137410895,0
CUST100135,3,259,1834506.02,7083.034826254826,0.2681814891006531,0
CUST100136,1,237,1797107.18,7582.730717299578,0.1944401858913878,0
CUST100137,7,257,1995639.44,7765.1340077821005,0.40990849345951536,0
CUST100138,9,221,1916404.6199999999,8671.514117647059,0.4428255393546565,0
CUST100139,10,283,2353326.79,8315.642367491166,0.28037929355209557,0
CUST100140,3,277,1994855.45,7201.644223826715,0.38575443841106144,0
CUST100141,2,252,2018395.16,8009.504603174603,0.19806037703822738,0
CUST100142,8,255,2054149.34,8055.487607843138,0.3273950001512651,0
CUST100143,2,239,1713540.97,7169.627489539749,0.29791415371981433,0
CUST100144,3,238,1653600.66,6947.9019327731085,0.4544088135098758,0
CUST100145,1,257,1652181.52,6428.72186770428,0.1867997269012248,0
CUST100146,1,258,1872477.59,7257.66507751938,0.2571849274821331,0
CUST100147,2,226,1663871.69,7362.264115044248,0.300428264887015,0
CUST100148,1,255,1990688.44,7806.6213333333335,0.637461344778771,0
CUST100149,1,228,1711325.81,7505.814956140352,0.18312594823820105,0
CUST100150,1,244,1830572.3,7502.3454918032785,0.37134596501293393,0
CUST100151,3,254,1943103.17,7650.01248031496,0.32030171067221536,0
CUST100152,5,242,1885785.56,7792.502314049587,0.4106212312259774,0
CUST100153,4,243,1621683.95,6673.596502057613,0.3444263476205887,0
CUST100154,1,245,1786488.22,7291.788653061224,0.45893652150448494,0
CUST100155,1,261,1872950.97,7176.057356321839,0.1779735661646771,0
CUST100156,2,258,1680929.3,6515.229844961241,0.27463968229859304,0
CUST100157,5,241,1691278.61,7017.753568464731,0.3899877835168066,0
CUST100158,3,239,2146651.87,8981.806987447699,0.45064929060864245,0
CUST100159,3,243,1797164.08,7395.736954732511,0.22686939633470152,0
CUST100160,2,247,2177767.43,8816.87218623482,0.2608864778648077,0
CUST100161,5,239,1819390.88,7612.514142259413,0.34637873291615245,0
CUST100162,3,269,2571376.38,9559.02,0.37141694054165564,0
CUST100163,5,232,1911965.47,8241.23047413793,0.2378145616266856,0
CUST100164,7,277,1890153.74,6823.659711191336,0.3923218465882425,0
CUST100165,1,238,1695553.69,7124.175168067227,0.1375875983323638,0
CUST100166,2,266,2043402.18,7681.963082706767,0.16573009672840971,0
CUST100167,6,268,1883715.51,7028.78921641791,0.21167172487057487,0
CUST100168,4,236,2095914.66,8880.994322033897,0.5260067504381053,0
CUST100169,4,234,1961873.34,8384.074102564104,0.5280726599860006,0
CUST100170,1,253,1839469.23,7270.629367588933,0.3798712663527137,0
CUST100171,1,224,1828306.45,8162.082366071429,0.95550409658774,0
CUST100172,3,264,1632502.9,6183.7231060606055,0.3010446085961225,0
CUST100173,3,248,1746102.79,7040.737056451613,0.37052704291843136,0
CUST100174,5,238,1819239.59,7643.863823529412,0.1946929421834909,0
CUST100175,1,232,1449585.42,6248.213017241379,0.4859667362711845,0
CUST100176,1,240,1878456.9000000001,7826.90375,0.3429208281787036,0
CUST100177,8,242,1986158.84,8207.267933884297,0.6682100664519374,0
CUST100178,2,244,2001805.04,8204.119016393443,0.24936029745318045,0
CUST100179,1,250,2225336.35,8901.3454,0.6552117966523218,0
CUST100180,1,248,1830192.13,7379.806975806451,0.1954145157744985,0
CUST100181,5,235,1944206.73,8273.220127659575,0.48455341564788507,0
CUST100182,1,244,1782096.82,7303.675491803279,0.3713180959830133,0
CUST100183,5,260,1703352.83,6551.357038461539,0.1474396179987582,0
CUST100184,1,241,1525111.99,6328.2655186721995,0.31575608602091687,0
CUST100185,4,261,2284044.5,8751.128352490421,0.6195673805734931,0
CUST100186,2,244,2143847.14,8786.258770491804,0.3486408826207471,0
CUST100187,18,261,1858788.29,7121.794214559387,0.24287807692811358,0
